,Datetime,Tweet Id,Text
0,2022-04-29 11:08:37+00:00,1519997076754608129,"@Rubberbandits Runs a hair transplant farm on the side, apparently has 2 acres of cutting there .. just waiting for the weather to pick up"
1,2022-04-29 10:08:22+00:00,1519981912281989121,"@Carol4OliveFarm Ah very sad , but how lucky was Samson to have you . He has had the best doggy life at Olive farm . Sending a big hug  xx"
2,2022-04-29 09:52:07+00:00,1519977823741566977,"The creative team have worked with Glenilen Farm to create a series of 12 activity sheets for the inside of their kids yoghurt packs, packed with sustainability related fun facts &amp; activities, giving these recyclable packs an added purpose.

Have you seen the packs in store?👀 https://t.co/BAc1VK8nGZ"
3,2022-04-29 09:51:53+00:00,1519977764845232129,"Here's our national farm advisory service @teagasc saying that burning is a ""cost effective treatment of unwanted vegetation"" - is it any wonder that there are mixed messages among farmers? 

Better to ban all burning of land 

https://t.co/lxqTbA0x4J"
4,2022-04-29 09:46:26+00:00,1519976392917757954,"💩🚜 Spreading slurry on farms is a key grass growth booster, but there are also potential human health &amp; air quality impacts. Help us examine what can be done to limit the negative effects of this common practice: https://t.co/Tqb42deeb7"
5,2022-04-29 08:10:50+00:00,1519952332775075841,My parents told me they found me on their front doorstep. They were hardworking farmers with a very large farm. My Mom came out the door to take lunch to Dad while he was out in the fields plowing. #bookbubble Stu Duncan https://t.co/m1TraRwfWA #fiction #literature #amreading
6,2022-04-29 08:08:13+00:00,1519951674873458688,"@NatashaFoote @TimmermansEU His phrase: ""Farm to fork wants to SAVE agriculture, not to punish it"" was a really deep one."
7,2022-04-29 07:37:04+00:00,1519943838126817283,"Mushroom farm must pay worker €15,000 over minimum wage breach https://t.co/nhvcVqp9sS via @IrishTimes"
8,2022-04-29 02:17:45+00:00,1519863479649284096,My parents told me they found me on their front doorstep. They were hardworking farmers with a very large farm. My Mom came out the door to take lunch to Dad while he was out in the fields plowing. #bookbubble Stu Duncan https://t.co/gNkcP6pzev #fiction #literature #amreading
9,2022-04-29 01:35:10+00:00,1519852759809413122,"@Independent_ie Where was the respect when a senator was forced to resign for upholding a majority EU view that surrogacy is wrong?? Using women from poor nations as baby farms for the rich is wrong. The irish media agenda is to ""normalise"" it in the  psyche of our people."
10,2022-04-28 23:41:26+00:00,1519824139606921222,My parents told me they found me on their front doorstep. They were hardworking farmers with a very large farm. My Mom came out the door to take lunch to Dad while he was out in the fields plowing. #bookbubble Stu Duncan https://t.co/RprIAVjj48 #fiction #literature #amreading
11,2022-04-28 23:12:52+00:00,1519816948510384128,My parents told me they found me on their front doorstep. They were hardworking farmers with a very large farm. My Mom came out the door to take lunch to Dad while he was out in the fields plowing. #bookbubble Stu Duncan https://t.co/nZUCKPPck2 #fiction #literature #amreading
12,2022-04-28 20:21:18+00:00,1519773773720965124,"@evannac ‘They say solar farms don’t give puppies cancer but how can we know for sure, we’ll be joined in studio by a meme.’ 🤦‍♂️"
13,2022-04-28 18:48:39+00:00,1519750457522102272,I'm at Home Farm FC in Dublin https://t.co/V3l1bKAhCF
14,2022-04-28 17:52:00+00:00,1519736201745514499,In the 1980s a box of photographic plates containing images created by the two women were found on a farm where the two had lived. These are images playing with gender &amp; identity with a timeless relevance. https://t.co/mlEgumOOQI
15,2022-04-28 17:41:03+00:00,1519733446507216898,@ArtistAJ17 A wind farm was built beside one of his golf courses and he’s convinced it’s lowered the land price. In his mind if enough people complain about them the wind farm will be removed.
16,2022-04-28 17:12:54+00:00,1519726362952675331,"Did you know 🤔 

We currently supply over 500 million tags for ID, tracking and monitoring animals worldwide every year?😍

Our tags are fully compliant with all current regulations and have the added benefit of working with any EID compatible farm tech - busy few months #AgTech https://t.co/Nw2h5uSzKT"
17,2022-04-28 16:34:17+00:00,1519716642669928450,@john_mcguirk Agreed about the climate argument but at what point should we give nature a break? The bogs and swamps are one of our only fully natural places for biodiversity left. The country is practically one big farm with a few cities in between.
18,2022-04-28 15:37:36+00:00,1519702378475315201,"Home Farm FC, Dublin https://t.co/FdeXCP87O1"
19,2022-04-28 15:37:08+00:00,1519702259935887361,"📷 Home Farm FC, Dublin. (at Dublin, Ireland) https://t.co/yAcEgtZ9Qn https://t.co/ItQ7Z0uXST"
20,2022-04-28 14:28:28+00:00,1519684980313571328,#nowplaying This Old farm by RICHARD MULLIGAN via @audiomack https://t.co/ZnORInmCY1
21,2022-04-28 14:26:35+00:00,1519684505396813829,This Old farm https://t.co/pIAOXiuOTH via @HearThisAt
22,2022-04-28 14:23:38+00:00,1519683765773258757,This Old farm by Richard mulligan   https://t.co/QUvjwOC6Sj #COUNTRY #FOLK #TRAD #soundclick
23,2022-04-28 14:22:20+00:00,1519683437002698752,Have you heard ‘This Old Farm’ by COUNTRY RICHARD on #SoundCloud? #np https://t.co/OOn0gYop9y
24,2022-04-28 14:05:37+00:00,1519679230145179650,"#OTD 1951. Print ad, 'Electricity on the Farm’ inc. Johnny Hotfoot, ESB mascot. 'Electricity on the farm. Electricity in your kitchen. Running water on your farm…Electricity can save you time, labour &amp; expense by doing your farmyard jobs faster better &amp; cheaper #Rural #1950s https://t.co/B2XdFdGfNk"
25,2022-04-28 12:55:31+00:00,1519661588776734721,@rosspmccarthy You mean the giant farm up by DCU? The mind reels. https://t.co/2kHCREX1ja
